POLISHword,Ciepło_M,Kompetencja_M,Valence_M,arousal_M,dominance_M,origin_M,significance_M,concretness_M,imegability_M,ageOfAquisition_M,AUTOMATICITYmean,NumberofLetters,Kazojć2011frequency
zagadka,0.7379674233832104,0.6754104769570344,0.8529213278739695,0.7444735091952986,-0.16130488582035662,1.4670091191867882,0.8142250000087186,1.1764968262921478,-0.7990462483069927,-1.5375517371727785,1.3624597424633262,0.11174207563772375,0.4532589945038419
dziewica,-0.31210903235839155,0.24438046597852206,0.8529213278739695,1.1503907131878626,0.07597910515316755,-0.603019930319311,0.6074642958922664,-0.08907620270324018,-0.16696874439951803,1.5411786449804177,0.07360938422340912,0.5228715332011696,0.17879020984556931
spódnica,0.6080755468327222,0.29543783094816845,0.8529213278739695,-0.20266663345401634,-0.3304236575687578,-0.17903807680601264,-0.5641796941009584,-0.9327915553668321,1.0161506859913956,-1.1025137483902618,0.5932202114190658,0.5228715332011696,-0.016468375469799172
wrzosowisko,0.6649587928685189,0.29414640708263234,0.8529213278739695,-1.1498067761033313,0.032836561339791924,-0.3286787309871766,-1.4141959221352594,-0.40546945995208716,0.5299372214471848,1.1619147573238646,0.6117777409617675,1.7562599058915074,-0.47929937316126703
lot,-0.12454143228346633,1.0647228848505879,0.868663319299864,0.27090343787064114,0.8322678982014997,0.17012344961670206,0.03312900667990157,0.039824753953697584,0.708215491780062,-0.9686559056879489,1.118218708481958,-1.5327757546160599,1.1708001825023655
nektar,0.8853813712572224,0.5438754970809617,0.868663319299864,-0.8115424394428619,0.13465296473934538,-0.45337927613814705,-0.9087808676283778,-0.7452992547749229,0.3192447201446928,0.20260021795728864,1.1068447387622375,-0.2993873819257222,-0.5840473145297203
zachód,1.1203925407628699,0.8701659829698218,0.868663319299864,-0.4281761912276625,0.24035219708209563,-0.4034990580777591,-0.17363169743655013,0.2273170545456068,0.3030376046598861,-0.8124884225352504,0.544731182613941,-0.2993873819257222,1.60988724008084
zdobycz,0.4125393885846754,1.0598973412101667,0.868663319299864,0.789575420750028,0.7688483587958488,-0.0792776406852367,0.883145234714202,0.41480935513751627,-0.685596439913343,-0.04280582699695139,0.4339846353429774,0.11174207563772375,0.7283831424990903
ratownik,1.4198045466247706,1.6673307628659697,0.868663319299864,0.8346773323047574,1.8681203751604554,0.5442250850696124,0.9980122925566747,-0.6163982981179851,0.6920083762952554,-0.9078735179302629,0.4339846353429774,0.5228715332011696,-0.8736222191550757
żaglówka,0.2244469363608474,0.8878900598337647,0.868663319299864,-0.4958290585597565,0.7662598061670434,-0.0792776406852367,-0.8628340444913887,-1.003101168088798,0.9513222240521675,-0.5559275573558174,-0.08682345182317597,0.5228715332011696,-1.0260763706304845
Frisbee,0.9585695132472407,-0.12136922165408286,0.875222482393984,-0.0006476546151206694,0.2826318900191959,-0.8402162864149764,-1.5616086463664292,-0.9095941661354373,0.7660980470829434,0.8983821295036861,0.5142010533662702,0.11174207563772375,-2.9927364240520893
jeep,0.27896533762562153,1.2007259606900147,0.8844053107257577,0.09049579165172383,0.93796713054425,0.12024323155631408,-0.9547276907653671,-0.9796646305148093,0.997628268294476,-0.04280582699695139,-0.5579452502137074,-1.121646297052614,-0.16204297404035706
basen,0.42142739577777016,0.6383108672483994,0.8844053107257577,-0.4958290585597565,0.21921235061354596,-0.30373862195698315,0.1250226529538796,-0.9796646305148093,1.2430503027786943,-1.403693894470466,-0.32627544592255675,-0.710516839489168,0.35465191879131613
fauna,0.05015388151181316,0.8393232980333666,0.8844053107257577,-1.1272558203259666,0.3249115829562962,-0.25385840389659514,-0.839860632922894,-0.042203127555262815,-0.280418552793167,0.9276635325948172,1.009866681151988,-0.710516839489168,-0.496065485632174
lider,0.38752599691268624,2.0130200415429242,0.8844053107257577,0.5866168187537465,2.56573530862261,1.342308574035819,1.1817995851046317,0.3093449360545669,-0.03731182052106161,0.48147072358710713,-0.277786417117432,-0.710516839489168,-0.6484228308460984
racja,0.627431651386571,1.6574864391323352,0.8844053107257577,-0.33797236811820386,1.466463292258003,1.7413503185189227,1.3655868776525888,1.7389737280678756,-1.9821656786979065,-0.2882118719511914,0.47169832441363,-0.710516839489168,0.9124548814982893
kuchnia,1.3698461325668903,0.7621261303568105,0.8844053107257577,-0.6536857490013092,0.47289050823614676,-0.0792776406852367,-0.05876463959407697,-0.827327136283883,1.0161506859913956,-1.636351573453059,1.3852076819027674,0.11174207563772375,0.5893998559967869
samolot,0.18500640444149916,1.1545575574970472,0.8844053107257577,0.47386203986692366,1.1070859022926511,1.1178475927640736,-0.0128178164570877,-0.8038905987098943,1.356500111172344,-1.4594679955964294,-0.2478549178550094,0.11174207563772375,1.2959607662129398
