,0,1,2,3,4,5
344,8,flow,trustworthy,0,"('8', 'flow', 'trustworthy', '0')",44.5
345,45,vector,trustworthy,2,"('45', 'vector', 'trustworthy', '2')",51.61
346,12,flow,trustworthy,4,"('12', 'flow', 'trustworthy', '4')",53.22
347,37,vector,trustworthy,4,"('37', 'vector', 'trustworthy', '4')",60.72
348,41,flow,trustworthy,3,"('41', 'flow', 'trustworthy', '3')",69.57
349,48,flow,trustworthy,0,"('48', 'flow', 'trustworthy', '0')",53.89
350,10,flow,attractive,2,"('10', 'flow', 'attractive', '2')",80.43
351,29,flow,attractive,1,"('29', 'flow', 'attractive', '1')",30.29
352,43,vector,attractive,0,"('43', 'vector', 'attractive', '0')",30.29
353,5,vector,attractive,2,"('5', 'vector', 'attractive', '2')",18.9
354,45,vector,attractive,2,"('45', 'vector', 'attractive', '2')",39.81
355,28,flow,attractive,0,"('28', 'flow', 'attractive', '0')",49.2
356,34,vector,attractive,1,"('34', 'vector', 'attractive', '1')",51.07
357,4,vector,attractive,1,"('4', 'vector', 'attractive', '1')",60.32
358,49,flow,attractive,1,"('49', 'flow', 'attractive', '1')",50.27
359,31,flow,attractive,3,"('31', 'flow', 'attractive', '3')",87.67
360,27,vector,attractive,4,"('27', 'vector', 'attractive', '4')",30.03
361,44,vector,attractive,1,"('44', 'vector', 'attractive', '1')",51.21
362,37,vector,attractive,4,"('37', 'vector', 'attractive', '4')",80.16
363,40,flow,attractive,2,"('40', 'flow', 'attractive', '2')",52.68
